Marque,Année,Boite_Vitesse,Adresse,Prix,Venant_Occasion
Ford,2016,Automatique,"Sicap Liberté,Dakar",7900000,Venant
BMW,2020,Automatique,"Parcelles Assainies,Dakar",50000000,Venant
Peugeot,2007,Manuelle,"Mermoz,Dakar",3699895,D'occasion
Hyundai,2012,Automatique,"Sicap mbao,Dakar",3700000,D'occasion
Mitsubishi,2016,Automatique,"Hlm,Dakar",12000000,Venant
Renault,2016,Automatique,"Ouest foire,Dakar",8500000,D'occasion
Chevrolet,2013,Automatique,"Sicap foire,Dakar",3500000,D'occasion
Hyundai,2014,Automatique,"Sacré-cœur,Dakar",8000000,Venant
Hyundai,2011,Automatique,"VDN,Dakar",3800000,D'occasion
Chevrolet,2013,Automatique,"Avenue Bourguiba,Dakar",3500000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Ford,2016,Automatique,"Ouest foire,Dakar",8000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Volkswagen,2011,Automatique,"Ouest foire,Dakar",2350000,D'occasion
Dodge,2016,Automatique,"Sacré-cœur,Dakar",15000000,Venant
Ford,2010,Automatique,"Guediawaye,Dakar",3800000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2014,Automatique,"Colobane,Dakar",5850000,Venant
Jeep,2015,Automatique,"Parcelles Assainies,Dakar",9000000,Venant
Volkswagen,2013,Automatique,"VDN,Dakar",4700000,D'occasion
Nissan,2015,Automatique,"Parcelles Assainies,Dakar",8500000,Venant
BMW,2015,Manuelle,"Parcelles Assainies,Dakar",6500000,D'occasion
Jeep,2019,Automatique,"Liberte 1,Dakar",12000000,Venant
Hyundai,2016,Automatique,"Cité keur gorgui,Dakar",6200000,Venant
Toyota,2018,Automatique,"Sacré-cœur,Dakar",25000000,D'occasion
Ford,2015,Automatique,"Médina,Dakar",5400000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Mercedes-Benz,2013,Automatique,"VDN,Dakar",7800000,D'occasion
Peugeot,2009,Manuelle,"Pikine,Dakar",3300000,D'occasion
Fiat,2014,Manuelle,"Liberte 6,Dakar",5600000,Venant
Jeep,2014,Automatique,"VDN,Dakar",14300000,Venant
Ford,2016,Automatique,"Ouest foire,Dakar",9000000,Venant
Ford,2016,Automatique,"Cité Damel,Dakar ",5700000,D'occasion
Peugeot,2015,Automatique,"Keur Massar,Dakar",7800000,Venant
Mercedes-Benz,2018,Automatique,"Liberte 6,Dakar",32000000,Venant
Peugeot,2003,Manuelle,"Guediawaye,Dakar",2500000,D'occasion
Toyota,2020,Automatique,"Sacré-cœur,Dakar",22000000,Venant
Hyundai,2014,Automatique,"Mermoz,Dakar",9800000,D'occasion
Peugeot,2008,Manuelle,"Malika,Dakar",1700000,D'occasion
Ford,2016,Automatique,"Ouest foire,Dakar",6900000,D'occasion
Ford,2010,Automatique,"Colobane,Dakar",2550000,D'occasion
Toyota,2020,Automatique,"Almadies,Dakar",15500000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2016,Automatique,"Pikine,Dakar",5000000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Mercedes-Benz,2015,Automatique,"VDN,Dakar",12000000,D'occasion
Range Rover,2013,Automatique,"VDN,Dakar",13000000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Nissan,2015,Automatique,"Hann maristes,Dakar",7500000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Mercedes-Benz,2019,Automatique,"Ndiakhirate,Dakar",70000000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Chrysler,2015,Automatique,"Cambérène,Dakar",6500000,D'occasion
Mitsubishi,2015,Automatique,"Yoff,Dakar",9800000,Venant
Ford,2013,Automatique,"Mamelles,Dakar",3600000,D'occasion
Peugeot,2019,Automatique,"Almadies,Dakar",16000000,D'occasion
Jeep,2014,Automatique,"Ouest foire,Dakar",12500000,Venant
Toyota,2008,Automatique,"Guediawaye,Dakar",5500000,D'occasion
Nissan,2013,Automatique,"Yoff,Dakar",4000000,D'occasion
Hyundai,2015,Automatique,"Sicap foire,Dakar",11000000,Venant
Renault,2008,Manuelle,"Dieuppeul,Dakar",1800000,D'occasion
Ford,2019,Automatique,"Liberte 6 extension,Dakar",16500000,Venant
Toyota,2014,Manuelle,"Almadies, Dakar",10500000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Hyundai,2014,Automatique,"Sicap foire,Dakar",11000000,Venant
Mitsubishi,2015,Automatique,"Amitié,Dakar",6700000,Venant
Fiat,2016,Manuelle,"Tivaouane peulh,Dakar",6000000,Venant
Citroen,2015,Automatique,"Sacré-cœur,Dakar",4700000,D'occasion
Toyota,2016,Manuelle,"Liberte 6 extension,Dakar",27000000,Venant
Mercedes-Benz,2015,Automatique,"Mermoz,Dakar",9000000,D'occasion
Mazda,2014,Automatique," Sacré-cœur,Dakar",9500000,D'occasion
Mazda,2018,Automatique,"Sicap Sacré-cœur,Dakar",15500000,Venant
BMW,2021,Automatique,"Hlm,Dakar",68000000,Venant
Ford,2012,Automatique,"Parcelles Assainies,Dakar",4500000,D'occasion
Citroen,2014,Automatique,"VDN, Dakar",5500000,D'occasion
Renault,2015,Manuelle,"Almadies,Dakar",4550000,Venant
Ford,2015,Automatique,"Pikine,Dakar",5500000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Audi,2012,Automatique,"Dieuppeul,Dakar",6700000,D'occasion
Ford,2011,Automatique,"Sicap Liberté,Dakar",3000000,D'occasion
Jeep,2019,Automatique,"Liberte 6,Dakar",28500000,Venant
Hyundai,2014,Automatique,"Parcelles Assainies,Dakar",6300000,D'occasion
Ford,2016,Automatique,"Ouest foire,Dakar",12500000,Venant
Hyundai,2015,Automatique,"Sacré-cœur,Dakar",12000000,D'occasion
Mercedes-Benz,2016,Automatique,"Mamelles,Dakar",37000000,D'occasion
Citroen,2016,Automatique,"Liberte 6,Dakar",8300000,Venant
Hyundai,2014,Automatique," Golf,Dakar",6000000,Venant
Kia,2016,Automatique,"VDN,Dakar",13500000,Venant
Ford,2011,Automatique,"Patte d‘oie,Dakar",2900000,D'occasion
Mitsubishi,2016,Automatique,"Hlm,Dakar",11500000,Venant
BMW,2021,Automatique,"Sacré-cœur,Dakar",80000000,Venant
Hyundai,2014,Automatique,"Cité Damel,Dakar",9200000,Venant
Chevrolet,2018,Automatique,"Colobane,Dakar",6500000,D'occasion
Mazda,2016,Automatique,"Almadies,Dakar",8000000,D'occasion
Renault,2013,Manuelle,"Colobane,Dakar",3200000,D'occasion
Peugeot,2015,Manuelle,"Golf,Dakar",6800000,Venant
Mazda,2014,Automatique,"Mermoz,Dakar",8750000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2013,Automatique,"Guediawaye,Dakar",3500000,D'occasion
Ford,2015,Automatique,"VDN,Dakar",7900000,Venant
Jeep,2014,Automatique,"Ouest foire,Dakar",11500000,Venant
Hyundai,2013,Automatique,"VDN,Dakar",4500000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2016,Automatique,"Parcelles Assainies,Dakar",5100000,Venant
Toyota,2019,Automatique,"Sicap mbao,Dakar",26500000,Venant
Nissan,2012,Manuelle,"Golf,Dakar",4000000,D'occasion
Hyundai,2015,Automatique,"Keur Massar,Dakar",8900000,Venant
Toyota,2020,Manuelle,"Sacré-cœur,Dakar",42500000,Venant
Nissan,2015,Automatique,"VDN,Dakar",6800000,D'occasion
Hyundai,2013,Automatique,"VDN,Dakar",7800000,Venant
BMW,2020,Automatique,"Hlm,Dakar",24000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2019,Automatique,"Sacré-cœur,Dakar",17000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",4500000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Jeep,2014,Automatique,"Pikine,Dakar",14000000,Venant
Toyota,2014,Automatique,"Liberte 6 extension,Dakar",4800000,D'occasion
Renault,2015,Manuelle,"Cité keur gorgui,Dakar",5000000,Venant
Citroen,2018,Automatique,"Almadies,Dakar",20000000,D'occasion
Ford,2013,Automatique,"Almadies 2,Dakar",5,D'occasion
Ford,2011,Automatique," Sicap Liberté,Dakar",5200000,D'occasion
Ford,2016,Automatique,"Liberte 6,Dakar",5900000,Venant
Ford,2017,Automatique,"Guediawaye,Dakar",7500000,Venant
Hyundai,2015,Automatique,"Liberte 6,Dakar",9500000,Venant
Ford,2016,Automatique,"Patte d‘oie,Dakar",5700000,D'occasion
Chevrolet,2013,Automatique,"Nord foire,Dakar",3250000,D'occasion
Toyota,2002,Manuelle,"Sicap Liberté,Dakar",3800000,D'occasion
Mercedes-Benz,2012,Automatique,"Cité Damel,Dakar",4000000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Jeep,2016,Automatique,"Plateau,Dakar",35000000,D'occasion
Renault,2014,Automatique,"Fenêtre mermoz,Dakar",5950000,Venant
Toyota,2009,Manuelle,"Mbao,Dakar",2300000,D'occasion
Porsche,2014,Automatique,"Guediawaye,Dakar",18000000,D'occasion
Kia,2013,Automatique,"VDN,Dakar",5500000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2011,Automatique,"Sacré-cœur,Dakar",4900000,D'occasion
Ford,2013,Automatique,"Golf,Dakar",4850000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2018,Manuelle,"Mamelles,Dakar",11500000,D'occasion
Hyundai,2014,Manuelle,"Keur Massar,Dakar",4500000,Venant
Hyundai,2013,Automatique,"Ouest foire,Dakar",4600000,D'occasion
Ford,2013,Automatique,"Plateau,Dakar",3750000,D'occasion
Volkswagen,2007,Automatique," Hann maristes,Dakar",1200000,Venant
Jeep,2014,Automatique,"VDN,Dakar",14300000,Venant
Hyundai,2017,Automatique,"Sacré-cœur,Dakar",13300000,Venant
Ford,2013,Automatique,"Sicap Liberté,Dakar",5900000,D'occasion
Jeep,2015,Automatique,"Rufisque,Dakar",6500000,Venant
Ford,2020,Automatique,"Hann maristes,Dakar",16000000,Venant
Mercedes-Benz,2014,Manuelle,"Hlm,Dakar",11000000,D'occasion
Renault,2015,Manuelle,"Almadies,Dakar",9000000,Venant
Kia,2014,Automatique,"Cité Damel,Dakar",10000000,D'occasion
Hyundai,2014,Automatique,"Almadies,Dakar",11000000,Venant
Hyundai,2015,Automatique,"Golf,Dakar",6000000,D'occasion
Ford,2016,Automatique,"Yoff,Dakar",5800000,Venant
Nissan,2020,Automatique,"Sacré-cœur,Dakar",9000000,D'occasion
Ford,2013,Automatique,"Ouest foire,Dakar",5800000,D'occasion
Kia,2017,Automatique,"Liberte 6,Dakar",14300000,Venant
Hyundai,2006,Automatique,"Sicap Liberté,Dakar",3500000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Hyundai,2009,Automatique,"Pikine,Dakar",1700000,D'occasion
Ford,2014,Automatique,"VDN,Dakar",8000000,Venant
Toyota,2007,Manuelle,"Sacré-cœur,Dakar",3000000,D'occasion
Mercedes-Benz,2009,Automatique,"Golf,Dakar",3500000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Renault,2013,Automatique,"Médina, Dakar",3300000,D'occasion
Hyundai,2015,Automatique,"Yoff,Dakar",9300000,D'occasion
Renault,2017,Automatique,"Golf,Dakar",4500000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Renault,2011,Manuelle,"Ouakam,Dakar",3900000,D'occasion
Mazda,2011,Automatique,"Yoff,Dakar",2450000,D'occasion
Citroen,2015,Manuelle,"Hlm,Dakar",6700000,Venant
Renault,2008,Manuelle," Pikine,Dakar",1400000,D'occasion
Ford,2013,Automatique,"Fenêtre mermoz,Dakar",4400000,D'occasion
Ford,2013,Automatique,"Cité Damel,Dakar",5000000,D'occasion
Peugeot,2015,Manuelle,"Point-e,Dakar",6400000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Volkswagen,2012,Automatique,"Ouest foire,Dakar",3950000,D'occasion
Toyota,2015,Automatique,"Yoff,Dakar",15500000,Venant
Ford,2012,Automatique,"Liberte 6,Dakar",4300000,Venant
Chevrolet,2013,Automatique,"VDN,Dakar",6300000,Venant
BMW,2020,Automatique,"Almadies, Dakar",70000000,Venant
Ford,2014,Automatique,"Yoff,Dakar",5000000,D'occasion
Ford,2013,Automatique,"Liberte 6,Dakar",4300000,Venant
Kia,2016,Automatique,"Yoff,Dakar",7200000,D'occasion
Jeep,2014,Automatique,"Mermoz,Dakar",9200000,Venant
Toyota,2015,Automatique,"Cité keur gorgui,Dakar",8000000,D'occasion
Toyota,2016,Manuelle,"Pikine, Dakar",14000000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Jeep,2015,Automatique,"Colobane,Dakar",9200000,Venant
Hyundai,2016,Automatique,"Ouest foire,Dakar",12500000,Venant
Ford,2014,Automatique,"Grand-Dakar,Dakar",4500000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Jeep,2016,Automatique,"Sacré-cœur,Dakar",9800000,Venant
Kia,2015,Automatique,"VDN,Dakar",9000000,Venant
Hyundai,2011,Automatique,"Castor,Dakar",4300000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies, Dakar",33000000,Venant
Ford,2013,Automatique,"Ouest foire,Dakar",3400000,D'occasion
Ford,2016,Automatique,"Malika,Dakar",5600000,Venant
Nissan,2019,Automatique,"Almadies,Dakar",12000000,D'occasion
Citroen,2015,Automatique,"Cité keur gorgui,Dakar",7500000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Lexus,2017,Automatique,"VDN,Dakar",15000000,D'occasion
Hyundai,2015,Automatique,"Djily mbaye,Dakar",7500000,Venant
Maserati,2019,Automatique,"Cité keur gorgui,Dakar",35000000,Venant
Citroen,2009,Manuelle,"Ouest foire,Dakar",2900000,D'occasion
Mercedes-Benz,2015,Automatique,"Sacré-cœur,Dakar",25000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2014,Automatique,"Cité Damel,Dakar",6500000,Venant
BMW,2014,Automatique,"Nord foire,Dakar",8200000,D'occasion
Ford,2014,Automatique,"Sicap foire,Dakar",8000000,Venant
Hyundai,2016,Automatique,"Hlm,Dakar",6500000,Venant
Ford,2017,Automatique,"Liberte 6,Dakar",9800000,Venant
Ford,2015,Automatique,"Liberte 6 extension,Dakar",6000000,D'occasion
Hyundai,2011,Automatique,"Hann maristes,Dakar",3900000,D'occasion
Hyundai,2014,Automatique,"VDN,Dakar",5700000,Venant
Mitsubishi,2018,Automatique,"Sacré-cœur,Dakar",11800000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Range Rover,2018,Automatique,"Ngor,Dakar",33000000,D'occasion
Mitsubishi,2015,Automatique,"Plateau,Dakar",8500000,Venant
Ford,2009,Automatique,"Liberte 6 extension,Dakar",4500000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Toyota,2015,Automatique,"Liberte 6,Dakar",40000000,Venant
Chevrolet,2016,Automatique,"Hann maristes,Dakar",6500000,Venant
Kia,2017,Automatique,"Amitié,Dakar",9850000,Venant
Audi,2015,Automatique,"Almadies,Dakar",10800000,D'occasion
Dacia,2015,Manuelle,"Parcelles Assainies,Dakar",4600000,Venant
Hyundai,2019,Automatique,"Liberte 6,Dakar",33000000,Venant
Ford,2011,Automatique,"Liberte 6,Dakar",6900000,Venant
Kia,2015,Automatique,"Parcelles Assainies,Dakar",9500000,Venant
Ford,2012,Automatique,"Plateau,Dakar",8500000,D'occasion
Hyundai,2017,Automatique,"Point-e,Dakar",5500000,D'occasion
Jeep,2015,Automatique,"Parcelles Assainies,Dakar",10000000,Venant
Dacia,2010,Manuelle,"Mbao,Dakar",2450000,D'occasion
Volkswagen,2012,Automatique,"Ouest foire,Dakar",2900000,D'occasion
Peugeot,2010,Manuelle,"Guediawaye,Dakar",3400000,D'occasion
Mitsubishi,2014,Manuelle,"Liberte 6,Dakar",13000000,Venant
Mitsubishi,2011,Automatique,"Hann maristes,Dakar",6000000,Venant
Citroen,2012,Manuelle,"Ouakam,Dakar",2450000,D'occasion
Mitsubishi,2011,Automatique,"Dieuppeul,Dakar",5500000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Hyundai,2014,Automatique,"Keur Massar,Dakar",7800000,D'occasion
Mercedes-Benz,2020,Automatique,"VDN,Dakar",47000000,D'occasion
Chevrolet,2011,Automatique,"Cité Damel,Dakar",5000000,D'occasion
Kia,2016,Automatique,"Keur Massar,Dakar",9800000,Venant
Nissan,2015,Automatique,"Nord foire,Dakar",7300000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Hyundai,2017,Automatique,"Bel air, Dakar",11000000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Mitsubishi,2014,Automatique,"Cambérène,Dakar",7900000,Venant
Nissan,2015,Automatique,"Parcelles Assainies,Dakar",7500000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Toyota,2001,Automatique,"Ouakam,Dakar",4500000,D'occasion
Toyota,2009,Manuelle,"Sacré-cœur,Dakar",7000000,D'occasion
Ford,2011,Automatique,"Parcelles Assainies,Dakar",4950000,Venant
Jeep,2014,Automatique,"Amitié,Dakar",14500000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Honda,2017,Automatique,"Colobane,Dakar",186,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2020,Automatique,"Médina,Dakar",21000000,Venant
Ford,2015,Automatique,"Parcelles Assainies,Dakar",10000000,D'occasion
Ford,2015,Automatique,"Sud foire,Dakar",12000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Toyota,2011,Manuelle,"Sacré-cœur,Dakar",8900000,D'occasion
Chrysler,2007,Automatique,"Yoff,Dakar",2500000,D'occasion
Kia,2016,Automatique,"VDN,Dakar",5800000,Venant
Ford,2013,Automatique,"Liberte 6 extension,Dakar",4800000,D'occasion
Hyundai,2017,Automatique,"Liberte 6,Dakar",10000000,D'occasion
Ford,2015,Automatique,"Dalifort,Dakar",5500000,D'occasion
BMW,2016,Automatique,"Almadies,Dakar",23000000,D'occasion
Mercedes-Benz,2021,Automatique,"Sacré-cœur,Dakar",92500000,Venant
Citroen,2014,Automatique,"Hann maristes,Dakar",5000000,D'occasion
Mitsubishi,2017,Automatique,"Sicap Liberté,Dakar",9700000,Venant
Ford,2013,Automatique,"Sacré-cœur,Dakar",5500000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Toyota,2017,Automatique,"Pikine,Dakar",19500000,Venant
Renault,2008,Manuelle,"Keur Massar,Dakar",2500000,D'occasion
Nissan,2013,Automatique,"Cité keur gorgui,Dakar",4200000,D'occasion
Toyota,2009,Automatique,"Almadies,Dakar",12000000,D'occasion
Toyota,2013,Automatique,"Yoff,Dakar",7500000,Venant
Range Rover,2017,Automatique,"Ouest foire,Dakar",13500000,D'occasion
Ford,2010,Automatique,"Keur Massar,Dakar",4800000,D'occasion
Peugeot,2015,Manuelle,"VDN,Dakar",7500000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2014,Automatique,"VDN,Dakar",5200000,Venant
Mazda,2009,Automatique,"Colobane,Dakar",2700000,Venant
Mercedes-Benz,2014,Automatique,"Gibraltar,Dakar",12000000,Venant
Hyundai,2015,Automatique,"Malika,Dakar",13000000,Venant
Peugeot,2015,Manuelle,"Point-e,Dakar",6500000,Venant
Jeep,2015,Automatique,"Hann maristes,Dakar ",8900000,Venant
Jaguar,2013,Automatique,"Fenêtre mermoz,Dakar",13000000,D'occasion
BMW,2014,Automatique,"Liberte 6,Dakar",14500000,Venant
Chevrolet,2014,Automatique,"Cité Damel,Dakar",6500000,D'occasion
Ford,2016,Automatique,"VDN,Dakar",7300000,Venant
Dodge,2014,Automatique,"Liberte 6,Dakar",1500000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Jeep,2014,Automatique,"Liberte 6,Dakar",9200000,Venant
Kia,2016,Automatique,"VDN,Dakar",11500000,Venant
Hyundai,2015,Automatique," Parcelles Assainies,Dakar",7000000,Venant
Ford,2020,Automatique,"Colobane,Dakar",19500000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Hyundai,2015,Automatique,"Almadies,Dakar",7800000,Venant
Hyundai,2017,Automatique,"Castor,Dakar",7000000,Venant
Toyota,2015,Manuelle,"Parcelles Assainies,Dakar",5000000,Venant
Ford,2014,Automatique,"VDN,Dakar",4600000,D'occasion
Kia,2015,Automatique,"Ouest foire,Dakar",9000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Mercedes-Benz,2021,Automatique,"VDN,Dakar",45000000,D'occasion
Citroen,2011,Automatique,"Ouest foire,Dakar",4500000,Venant
Lexus,2018,Automatique,"Almadies 2,Dakar",25000000,Venant
Citroen,2015,Manuelle,"Cité Damel,Dakar",5850000,Venant
BMW,2022,Automatique,"Almadies,Dakar",25000000,D'occasion
Jeep,2015,Automatique,"Almadies,Dakar",13000000,Venant
Hyundai,2017,Automatique,"Amitié,Dakar",12000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Peugeot,2009,Manuelle,"Liberte 6,Dakar",2300000,D'occasion
Ford,2020,Automatique,"Almadies,Dakar",17500000,D'occasion
Ford,2013,Automatique,"Mbao,Dakar",8000000,Venant
Peugeot,2019,Automatique,"Fenêtre mermoz,Dakar",15500000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2015,Automatique,"Nord foire,Dakar",8000000,Venant
Mitsubishi,2015,Automatique,"Fenêtre mermoz,Dakar",9000000,Venant
Hyundai,2006,Automatique,"Plateau,Dakar",3000000,D'occasion
Citroen,2015,Automatique,"Guediawaye,Dakar",6500000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Ford,2013,Automatique,"Sicap foire,Dakar",3300000,D'occasion
Hyundai,2010,Automatique,"Mermoz,Dakar",2700000,D'occasion
Toyota,2004,Manuelle,"Patte d‘oie,Dakar",1700000,D'occasion
Ford,2010,Automatique,"Cité keur gorgui,Dakar",4700000,D'occasion
Hyundai,2014,Automatique,"Bel air,Dakar",8000000,D'occasion
Ford,2016,Automatique,"Sicap Liberté,Dakar",9500000,D'occasion
Audi,2018,Automatique,"Sacré-cœur, Dakar",35000000,Venant
Ford,2015,Automatique,"Plateau,Dakar",16000000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Jeep,2016,Automatique,"Keur Massar,Dakar",16300000,Venant
Toyota,2008,Manuelle,"Colobane,Dakar",11500000,D'occasion
Toyota,2020,Automatique,"Yoff,Dakar",20500000,Venant
Citroen,2016,Manuelle,"Hlm,Dakar",7650000,Venant
Ford,2014,Manuelle,"Guediawaye,Dakar",8000000,D'occasion
Peugeot,2012,Manuelle,"Guediawaye,Dakar",3700000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Mitsubishi,2014,Automatique,"Liberte 6,Dakar",6700000,Venant
Jeep,2012,Automatique,"Almadies,Dakar",4500000,D'occasion
Hyundai,2013,Automatique,"Cité keur gorgui,Dakar",6700000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Nissan,2011,Automatique,"Médina,Dakar",4500000,D'occasion
Toyota,2014,Automatique,"Keur Massar,Dakar",10600000,Venant
Ford,2014,Automatique,"Malika,Dakar",4500000,D'occasion
Ford,2014,Automatique,"Liberte 6,Dakar",5400000,D'occasion
Hyundai,2015,Automatique,"Mamelles,Dakar",6500000,Venant
Mercedes-Benz,2008,Automatique,"Yoff,Dakar",3000000,D'occasion
Ford,2015,Manuelle,"Liberte 6,Dakar",5000000,D'occasion
Hyundai,2014,Automatique,"Mermoz,Dakar",10800000,Venant
Hyundai,2015,Automatique,"Yoff,Dakar",6500000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Dodge,2018,Automatique," Liberte 6,Dakar",8800000,Venant
Hyundai,2011,Automatique,"Hann Bel-Air,Dakar",3750000,D'occasion
Citroen,2006,Manuelle,"Zac Mbao,Dakar",3200000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Jeep,2006,Automatique,"Sud foire,Dakar",2800000,D'occasion
Toyota,2010,Manuelle,"Cité keur gorgui,Dakar",4800000,D'occasion
Renault,2010,Manuelle,"Hlm,Dakar",2800000,D'occasion
Toyota,2010,Automatique,"Fann,Dakar",3300000,D'occasion
Hyundai,2014,Automatique,"Parcelles Assainies, Dakar",7800000,Venant
Hyundai,2014,Automatique,"Nord foire,Dakar",8000000,D'occasion
Mercedes-Benz,2006,Automatique,"Patte d‘oie,Dakar",2500000,D'occasion
Ford,2015,Automatique,"Liberte 6,Dakar",14000000,Venant
Ford,2016,Automatique,"VDN,Dakar",7900000,Venant
Jaguar,2018,Automatique,"Plateau,Dakar",25000000,Venant
Mini,2014,Automatique,"Mamelles,Dakar",6300000,D'occasion
Ford,2015,Automatique,"Guediawaye,Dakar",5500000,D'occasion
Kia,2014,Automatique,"Yoff,Dakar",9900000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Renault,2014,Automatique,"Parcelles Assainies,Dakar",4000000,D'occasion
Toyota,2009,Manuelle,"Dalifort,Dakar",2500000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Ford,2019,Automatique,"Sacré-cœur,Dakar",26500000,Venant
Hyundai,2015,Automatique,"VDN,Dakar",6200000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Kia,2015,Automatique,"VDN,Dakar",6000000,D'occasion
Ford,2012,Manuelle,"Point-e,Dakar",1700000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Peugeot,2015,Manuelle,"Sicap Liberté,Dakar",5500000,Venant
Citroen,2015,Manuelle,"Guediawaye,Dakar",5500000,D'occasion
Chevrolet,2013,Automatique,"Mamelles,Dakar",4000000,D'occasion
Toyota,2012,Automatique,"Sacré-cœur,Dakar",18500000,D'occasion
Renault,2010,Manuelle,"Cité keur gorgui,Dakar",2200000,D'occasion
Hyundai,2015,Automatique,"Dieuppeul,Dakar",13500000,Venant
Ford,2016,Automatique,"Fenêtre mermoz,Dakar",6200000,Venant
